project_id,project_name,state,district,project_type,land_area_hectares,affected_families,compensation_status,compensation_disbursed_pct,approval_stage,days_since_notification,legal_disputes_count,legal_dispute_status,possession_status,rehabilitation_progress_pct,stakeholder_responsiveness_score,historical_district_delay_rate,inter_department_coordination_issues,project_start_date,planned_duration_days,expected_completion_date,delay_probability,actual_delay_days,risk_category
LA-0029,Railway Line Project Hubballi-29,Karnataka,Hubballi,Railway Line,89.82,168,Not Disbursed,2.5,Possession Complete,456,1,Ongoing - Lower Court,Fully Complete,35.8,2.0,0.53,Low,2021-05-20,545,2022-11-16,0.627,506,Medium
LA-0030,SEZ Development Project Bhubaneswar-30,Odisha,Bhubaneswar,SEZ Development,42.88,366,Not Disbursed,5.6,Possession Complete,661,0,None,Not Started,13.6,1.1,0.66,Low,2024-04-10,1460,2028-04-09,0.866,331,High
LA-0031,Power Transmission Line Project Mysuru-31,Karnataka,Mysuru,Power Transmission Line,17.45,14,Not Disbursed,5.1,Rehabilitation Ongoing,820,0,None,Not Started,92.7,5.4,0.5,Low,2021-09-26,730,2023-09-26,0.408,183,Medium
LA-0032,State Highway Project Coimbatore-32,Tamil Nadu,Coimbatore,State Highway,39.85,179,Not Disbursed,2.4,Possession Complete,546,0,None,Fully Complete,89.7,5.3,0.31,High,2021-05-31,1460,2025-05-30,0.205,270,Low
LA-0033,Railway Line Project Udaipur-33,Rajasthan,Udaipur,Railway Line,28.37,67,Fully Disbursed,92.1,Notification (Sec 11),435,0,None,Fully Complete,79.9,6.7,0.11,Low,2021-11-20,1095,2024-11-19,0.02,63,Low
LA-0034,Power Transmission Line Project Hubballi-34,Karnataka,Hubballi,Power Transmission Line,24.54,202,Partially Disbursed,56.4,Rehabilitation Ongoing,1204,0,None,Partially Complete,71.3,9.1,0.41,Medium,2024-02-10,730,2026-02-09,0.481,368,Medium
LA-0035,Power Transmission Line Project Nagpur-35,Maharashtra,Nagpur,Power Transmission Line,36.95,56,Not Disbursed,2.7,Notification (Sec 11),159,0,None,Partially Complete,89.1,6.3,0.35,Low,2022-08-01,1460,2026-07-31,0.278,306,Low
LA-0036,Irrigation Canal Project Udaipur-36,Rajasthan,Udaipur,Irrigation Canal,22.18,132,Partially Disbursed,42.4,Award Declared,193,1,Resolved Against,Partially Complete,98.7,6.5,0.24,High,2021-04-15,365,2022-04-15,0.589,314,Medium
LA-0037,National Highway Project Cuttack-37,Odisha,Cuttack,National Highway,29.8,78,Not Disbursed,2.9,SIA Completed,432,1,Ongoing - Supreme Court,Not Started,39.8,9.7,0.33,Medium,2023-05-26,1460,2027-05-25,0.774,437,High
LA-0038,State Highway Project Ghaziabad-38,Uttar Pradesh,Ghaziabad,State Highway,24.76,85,Fully Disbursed,92.8,Rehabilitation Ongoing,237,0,None,Fully Complete,50.8,3.2,0.54,Medium,2023-01-27,1460,2027-01-26,0.2,167,Low
LA-0039,Urban Metro Project Bengaluru-39,Karnataka,Bengaluru,Urban Metro,57.77,24,Not Disbursed,5.3,Award Declared,251,2,Ongoing - Supreme Court,Fully Complete,41.2,4.1,0.56,High,2021-03-23,730,2023-03-23,0.98,533,High
LA-0040,State Highway Project Jodhpur-40,Rajasthan,Jodhpur,State Highway,53.19,372,Partially Disbursed,25.1,Possession Complete,557,1,Resolved in Favor,Fully Complete,87.7,4.5,0.39,Medium,2022-04-30,545,2023-10-27,0.328,341,Low
LA-0041,National Highway Project Gwalior-41,Madhya Pradesh,Gwalior,National Highway,25.61,10,Not Disbursed,5.0,Award Declared,745,1,Resolved in Favor,Fully Complete,94.0,6.6,0.12,High,2022-05-24,730,2024-05-23,0.123,216,Low
LA-0042,Urban Metro Project Bhopal-42,Madhya Pradesh,Bhopal,Urban Metro,53.82,308,Fully Disbursed,93.1,Possession Initiated,746,1,Ongoing - High Court,Not Started,87.7,4.1,0.32,High,2022-12-18,730,2024-12-17,0.82,399,High
LA-0043,National Highway Project Jodhpur-43,Rajasthan,Jodhpur,National Highway,30.42,84,Partially Disbursed,62.0,Possession Initiated,213,2,Ongoing - Supreme Court,Not Started,46.2,9.5,0.26,Low,2022-07-26,730,2024-07-25,0.646,301,Medium
LA-0044,Dam/Reservoir Project Mysuru-44,Karnataka,Mysuru,Dam/Reservoir,134.79,147,Partially Disbursed,52.4,Notification (Sec 11),490,1,Ongoing - Lower Court,Fully Complete,42.4,7.6,0.52,Low,2024-04-04,730,2026-04-04,0.202,207,Low
LA-0045,SEZ Development Project Ghaziabad-45,Uttar Pradesh,Ghaziabad,SEZ Development,41.38,281,Partially Disbursed,35.1,Rehabilitation Ongoing,756,0,None,Fully Complete,34.7,7.6,0.1,Medium,2023-11-14,365,2024-11-13,0.02,104,Low
LA-0046,Irrigation Canal Project Rourkela-46,Odisha,Rourkela,Irrigation Canal,18.28,118,Not Disbursed,4.2,Rehabilitation Ongoing,1343,1,Resolved in Favor,Not Started,96.1,2.3,0.62,High,2024-01-08,545,2025-07-06,0.813,419,High
LA-0047,State Highway Project Rajkot-47,Gujarat,Rajkot,State Highway,40.02,150,Fully Disbursed,99.0,Award Declared,257,1,Resolved Against,Not Started,6.6,8.0,0.37,High,2022-09-08,1460,2026-09-07,0.732,250,High
LA-0048,Urban Metro Project Muzaffarpur-48,Bihar,Muzaffarpur,Urban Metro,7.63,41,Partially Disbursed,74.6,Rehabilitation Ongoing,107,0,None,Not Started,2.5,2.4,0.33,Low,2023-05-12,1095,2026-05-11,0.413,386,Medium
LA-0049,Urban Metro Project Jabalpur-49,Madhya Pradesh,Jabalpur,Urban Metro,60.41,47,Partially Disbursed,23.4,Notification (Sec 11),313,3,Ongoing - Supreme Court,Not Started,66.8,2.8,0.42,Medium,2024-04-02,1460,2028-04-01,0.933,582,High
LA-0050,Airport Expansion Project Rajkot-50,Gujarat,Rajkot,Airport Expansion,48.53,41,Partially Disbursed,35.6,SIA Completed,1001,1,Resolved Against,Partially Complete,55.2,4.9,0.19,High,2021-12-14,365,2022-12-14,0.808,383,High
LA-0051,SEZ Development Project Muzaffarpur-51,Bihar,Muzaffarpur,SEZ Development,28.08,178,Partially Disbursed,70.0,SIA Completed,1571,0,None,Partially Complete,83.5,9.9,0.55,Low,2022-02-12,545,2023-08-11,0.02,101,Low
LA-0052,Irrigation Canal Project Ghaziabad-52,Uttar Pradesh,Ghaziabad,Irrigation Canal,11.89,198,Fully Disbursed,90.1,Possession Complete,504,1,Ongoing - Lower Court,Partially Complete,91.4,4.8,0.6,High,2024-03-24,545,2025-09-20,0.661,215,High
LA-0053,Urban Metro Project Cuttack-53,Odisha,Cuttack,Urban Metro,32.07,154,Not Disbursed,3.9,Rehabilitation Ongoing,174,1,Ongoing - Lower Court,Fully Complete,93.7,7.6,0.61,High,2021-08-07,1095,2024-08-06,0.721,295,High
LA-0054,Dam/Reservoir Project Jodhpur-54,Rajasthan,Jodhpur,Dam/Reservoir,39.87,76,Partially Disbursed,18.0,Possession Complete,405,0,None,Not Started,24.6,8.4,0.72,High,2023-07-24,545,2025-01-19,0.762,456,High
LA-0055,Dam/Reservoir Project Madurai-55,Tamil Nadu,Madurai,Dam/Reservoir,57.25,28,Fully Disbursed,99.5,Possession Complete,119,3,Ongoing - Supreme Court,Fully Complete,69.2,8.6,0.42,High,2024-06-08,1460,2028-06-07,0.71,291,High
LA-0056,Airport Expansion Project Rourkela-56,Odisha,Rourkela,Airport Expansion,51.47,155,Fully Disbursed,97.0,Rehabilitation Ongoing,578,1,Resolved in Favor,Partially Complete,86.2,8.6,0.42,High,2022-07-22,1460,2026-07-21,0.309,229,Low
LA-0057,Irrigation Canal Project Madurai-57,Tamil Nadu,Madurai,Irrigation Canal,42.4,91,Not Disbursed,0.8,Notification (Sec 11),337,1,Ongoing - Supreme Court,Not Started,31.9,6.6,0.47,Low,2024-01-12,365,2025-01-11,0.908,498,High
LA-0058,Irrigation Canal Project Indore-58,Madhya Pradesh,Indore,Irrigation Canal,42.05,276,Partially Disbursed,36.3,SIA Completed,272,3,Ongoing - High Court,Not Started,42.1,7.6,0.08,Medium,2024-01-17,1095,2027-01-16,0.901,426,High
LA-0059,Irrigation Canal Project Bhubaneswar-59,Odisha,Bhubaneswar,Irrigation Canal,15.28,59,Fully Disbursed,99.9,Possession Initiated,52,0,None,Fully Complete,95.0,8.1,0.27,Medium,2021-02-10,1460,2025-02-09,0.02,38,Low
LA-0060,National Highway Project Cuttack-60,Odisha,Cuttack,National Highway,127.44,75,Fully Disbursed,96.5,Award Declared,517,0,None,Fully Complete,22.0,2.7,0.82,High,2023-05-09,1460,2027-05-08,0.303,348,Low
LA-0061,Irrigation Canal Project Hubballi-61,Karnataka,Hubballi,Irrigation Canal,85.86,82,Partially Disbursed,26.8,Award Declared,1734,0,None,Partially Complete,87.7,3.4,0.59,Low,2022-11-20,1095,2025-11-19,0.397,352,Medium
LA-0062,Railway Line Project Gwalior-62,Madhya Pradesh,Gwalior,Railway Line,22.57,144,Fully Disbursed,95.0,Possession Complete,270,1,Ongoing - Lower Court,Fully Complete,59.2,8.4,0.48,Medium,2021-02-25,365,2022-02-25,0.314,200,Low
LA-0063,Airport Expansion Project Bhubaneswar-63,Odisha,Bhubaneswar,Airport Expansion,11.78,187,Not Disbursed,6.6,Award Declared,741,1,Resolved in Favor,Not Started,75.3,2.4,0.53,Medium,2022-11-23,1095,2025-11-22,0.774,350,High
LA-0064,Power Transmission Line Project Gaya-64,Bihar,Gaya,Power Transmission Line,25.38,191,Fully Disbursed,92.9,Possession Initiated,481,0,None,Not Started,63.4,5.9,0.46,Medium,2022-12-18,545,2024-06-15,0.142,241,Low
LA-0065,National Highway Project Pune-65,Maharashtra,Pune,National Highway,46.42,371,Fully Disbursed,91.0,SIA Completed,475,0,None,Fully Complete,70.8,1.6,0.51,Medium,2022-05-04,545,2023-10-31,0.159,213,Low
LA-0066,State Highway Project Madurai-66,Tamil Nadu,Madurai,State Highway,29.35,146,Partially Disbursed,66.2,SIA Completed,1153,0,None,Partially Complete,27.4,10.0,0.44,Low,2023-01-26,545,2024-07-24,0.02,-27,Low
LA-0067,State Highway Project Siliguri-67,West Bengal,Siliguri,State Highway,51.78,87,Fully Disbursed,96.5,SIA Completed,348,0,None,Fully Complete,63.9,4.6,0.28,Low,2021-02-22,730,2023-02-22,0.048,138,Low
LA-0068,Urban Metro Project Siliguri-68,West Bengal,Siliguri,Urban Metro,24.99,75,Partially Disbursed,74.8,Rehabilitation Ongoing,537,2,Ongoing - High Court,Not Started,13.1,1.3,0.52,Medium,2024-07-08,545,2026-01-04,0.965,554,High
LA-0069,SEZ Development Project Nashik-69,Maharashtra,Nashik,SEZ Development,37.84,344,Fully Disbursed,92.0,Possession Complete,220,0,None,Fully Complete,79.8,3.8,0.45,Low,2023-05-28,730,2025-05-27,0.134,134,Low
LA-0070,Industrial Corridor Project Thane-70,Maharashtra,Thane,Industrial Corridor,35.91,74,Not Disbursed,2.9,Possession Initiated,176,1,Resolved in Favor,Not Started,49.9,6.6,0.44,High,2023-07-31,545,2025-01-26,0.835,532,High
LA-0071,Dam/Reservoir Project Bhubaneswar-71,Odisha,Bhubaneswar,Dam/Reservoir,22.15,137,Fully Disbursed,91.3,Award Declared,1307,0,None,Partially Complete,16.7,1.9,0.55,High,2023-09-18,1095,2026-09-17,0.647,426,Medium
LA-0072,SEZ Development Project Rourkela-72,Odisha,Rourkela,SEZ Development,41.48,77,Not Disbursed,7.1,SIA Completed,454,1,Ongoing - Lower Court,Not Started,52.6,7.6,0.59,Medium,2023-08-10,1460,2027-08-09,0.736,360,High
LA-0073,Urban Metro Project Siliguri-73,West Bengal,Siliguri,Urban Metro,32.66,182,Partially Disbursed,69.2,Possession Initiated,2293,0,None,Fully Complete,99.6,9.8,0.44,Low,2022-03-11,730,2024-03-10,0.02,80,Low
LA-0074,Power Transmission Line Project Gaya-74,Bihar,Gaya,Power Transmission Line,28.92,156,Fully Disbursed,97.3,Rehabilitation Ongoing,279,0,None,Fully Complete,98.8,1.4,0.69,Medium,2023-11-25,545,2025-05-23,0.198,296,Low
LA-0075,Urban Metro Project Nagpur-75,Maharashtra,Nagpur,Urban Metro,97.05,91,Partially Disbursed,41.6,SIA Completed,732,1,Resolved in Favor,Partially Complete,73.3,2.2,0.48,Medium,2021-02-05,365,2022-02-05,0.723,368,High
LA-0076,Urban Metro Project Patna-76,Bihar,Patna,Urban Metro,27.98,75,Partially Disbursed,46.9,Award Declared,368,0,None,Partially Complete,59.3,2.5,0.61,Low,2024-02-08,1460,2028-02-07,0.377,281,Medium
LA-0077,Dam/Reservoir Project Rajkot-77,Gujarat,Rajkot,Dam/Reservoir,63.21,41,Partially Disbursed,82.7,Rehabilitation Ongoing,441,1,Resolved in Favor,Not Started,24.9,6.6,0.26,Low,2021-09-05,545,2023-03-04,0.145,239,Low
LA-0078,Dam/Reservoir Project Ahmedabad-78,Gujarat,Ahmedabad,Dam/Reservoir,64.54,303,Fully Disbursed,98.7,Rehabilitation Ongoing,338,0,None,Not Started,53.1,9.4,0.42,Low,2023-09-19,730,2025-09-18,0.042,176,Low
LA-0079,SEZ Development Project Siliguri-79,West Bengal,Siliguri,SEZ Development,41.96,15,Not Disbursed,9.9,Notification (Sec 11),463,1,Ongoing - High Court,Not Started,48.9,7.0,0.52,Low,2022-09-12,365,2023-09-12,0.973,376,High
LA-0080,Power Transmission Line Project Bengaluru-80,Karnataka,Bengaluru,Power Transmission Line,56.97,51,Not Disbursed,6.7,Notification (Sec 11),619,2,Resolved Against,Not Started,61.8,8.8,0.31,High,2023-10-03,365,2024-10-02,0.98,457,High
LA-0081,Power Transmission Line Project Kanpur-81,Uttar Pradesh,Kanpur,Power Transmission Line,45.04,185,Partially Disbursed,39.5,Possession Initiated,522,0,None,Not Started,97.7,4.7,0.34,High,2022-06-02,1095,2025-06-01,0.581,355,Medium
LA-0082,Urban Metro Project Pune-82,Maharashtra,Pune,Urban Metro,93.98,185,Partially Disbursed,60.1,Possession Complete,695,1,Ongoing - Lower Court,Not Started,54.4,1.1,0.55,High,2022-09-15,365,2023-09-15,0.899,343,High
LA-0083,Dam/Reservoir Project Jaipur-83,Rajasthan,Jaipur,Dam/Reservoir,93.15,63,Fully Disbursed,92.3,Possession Complete,473,1,Resolved Against,Fully Complete,38.0,8.8,0.34,Low,2023-12-07,1095,2026-12-06,0.02,237,Low
LA-0084,Power Transmission Line Project Coimbatore-84,Tamil Nadu,Coimbatore,Power Transmission Line,14.7,25,Fully Disbursed,98.1,Possession Initiated,340,0,None,Not Started,93.4,4.2,0.51,Medium,2024-06-02,365,2025-06-02,0.252,188,Low
LA-0085,Power Transmission Line Project Jodhpur-85,Rajasthan,Jodhpur,Power Transmission Line,22.24,55,Partially Disbursed,33.3,SIA Completed,171,0,None,Not Started,18.1,7.1,0.59,Medium,2021-11-17,365,2022-11-17,0.474,247,Medium
LA-0086,SEZ Development Project Cuttack-86,Odisha,Cuttack,SEZ Development,27.0,169,Partially Disbursed,46.3,Notification (Sec 11),256,3,Ongoing - High Court,Not Started,22.8,2.9,0.46,Low,2023-07-19,365,2024-07-18,0.884,577,High
LA-0087,SEZ Development Project Udaipur-87,Rajasthan,Udaipur,SEZ Development,16.61,73,Partially Disbursed,41.8,SIA Completed,498,1,Resolved in Favor,Not Started,73.7,8.8,0.33,Low,2021-11-02,730,2023-11-02,0.12,226,Low
LA-0088,National Highway Project Bhopal-88,Madhya Pradesh,Bhopal,National Highway,41.08,118,Not Disbursed,2.3,Award Declared,526,1,Resolved Against,Partially Complete,42.8,7.5,0.45,Medium,2022-08-15,1095,2025-08-14,0.809,501,High
LA-0089,Power Transmission Line Project Aurangabad-89,Maharashtra,Aurangabad,Power Transmission Line,31.41,113,Partially Disbursed,34.3,Award Declared,254,0,None,Partially Complete,80.0,3.1,0.42,Medium,2021-06-14,1460,2025-06-13,0.423,326,Medium
LA-0090,Industrial Corridor Project Varanasi-90,Uttar Pradesh,Varanasi,Industrial Corridor,52.44,493,Partially Disbursed,84.6,Notification (Sec 11),1223,0,None,Not Started,56.2,9.6,0.51,High,2024-03-24,1460,2028-03-23,0.293,216,Low
LA-0091,Power Transmission Line Project Meerut-91,Uttar Pradesh,Meerut,Power Transmission Line,44.29,34,Partially Disbursed,36.1,SIA Completed,267,3,Resolved in Favor,Partially Complete,52.1,6.6,0.24,Medium,2022-07-24,545,2024-01-20,0.711,365,High
LA-0092,Airport Expansion Project Howrah-92,West Bengal,Howrah,Airport Expansion,43.36,118,Fully Disbursed,92.6,Possession Initiated,228,1,Ongoing - Supreme Court,Partially Complete,39.7,5.0,0.41,Low,2021-08-03,545,2023-01-30,0.552,472,Medium
LA-0093,Airport Expansion Project Rajkot-93,Gujarat,Rajkot,Airport Expansion,39.85,240,Not Disbursed,2.1,Possession Initiated,290,3,Resolved Against,Not Started,8.1,4.6,0.62,Low,2022-06-01,730,2024-05-31,0.965,530,High
LA-0094,Dam/Reservoir Project Aurangabad-94,Maharashtra,Aurangabad,Dam/Reservoir,40.69,132,Fully Disbursed,99.2,Notification (Sec 11),1825,0,None,Partially Complete,50.3,4.6,0.4,Medium,2023-04-27,365,2024-04-26,0.162,135,Low
LA-0095,SEZ Development Project Udaipur-95,Rajasthan,Udaipur,SEZ Development,53.77,138,Fully Disbursed,91.1,Rehabilitation Ongoing,135,1,Resolved in Favor,Fully Complete,6.1,8.0,0.54,Low,2024-01-30,545,2025-07-28,0.105,150,Low
LA-0096,Airport Expansion Project Gaya-96,Bihar,Gaya,Airport Expansion,27.72,95,Not Disbursed,1.0,Rehabilitation Ongoing,470,1,Resolved Against,Fully Complete,62.4,5.7,0.45,Medium,2022-09-29,1460,2026-09-28,0.452,311,Medium
LA-0097,Urban Metro Project Kanpur-97,Uttar Pradesh,Kanpur,Urban Metro,36.93,263,Not Disbursed,4.1,Notification (Sec 11),256,0,None,Partially Complete,76.0,2.2,0.06,Low,2021-11-12,1095,2024-11-11,0.164,206,Low
LA-0098,Power Transmission Line Project Muzaffarpur-98,Bihar,Muzaffarpur,Power Transmission Line,39.63,202,Partially Disbursed,73.3,Possession Initiated,138,1,Resolved in Favor,Not Started,37.6,4.6,0.44,Medium,2023-02-25,545,2024-08-23,0.674,364,High
LA-0099,Railway Line Project Siliguri-99,West Bengal,Siliguri,Railway Line,25.75,272,Fully Disbursed,90.4,Award Declared,388,2,Resolved in Favor,Not Started,61.4,1.6,0.59,High,2022-07-02,365,2023-07-02,0.739,402,High
LA-0100,Power Transmission Line Project Muzaffarpur-100,Bihar,Muzaffarpur,Power Transmission Line,42.21,402,Fully Disbursed,90.7,Possession Complete,115,2,Resolved in Favor,Fully Complete,17.4,1.9,0.3,Medium,2023-09-19,730,2025-09-18,0.582,394,Medium
LA-0101,Airport Expansion Project Rajkot-101,Gujarat,Rajkot,Airport Expansion,69.69,69,Fully Disbursed,96.2,SIA Completed,659,0,None,Fully Complete,96.8,8.2,0.63,Low,2023-02-24,545,2024-08-22,0.06,262,Low
LA-0102,Industrial Corridor Project Bhubaneswar-102,Odisha,Bhubaneswar,Industrial Corridor,61.19,204,Fully Disbursed,92.2,Rehabilitation Ongoing,162,2,Resolved in Favor,Partially Complete,12.2,2.8,0.16,Medium,2021-11-08,1095,2024-11-07,0.511,378,Medium
LA-0103,Dam/Reservoir Project Noida-103,Uttar Pradesh,Noida,Dam/Reservoir,65.0,81,Fully Disbursed,97.6,Award Declared,943,2,Ongoing - Lower Court,Fully Complete,54.5,9.9,0.43,Medium,2023-12-14,1095,2026-12-13,0.196,241,Low
LA-0104,Railway Line Project Meerut-104,Uttar Pradesh,Meerut,Railway Line,63.39,202,Partially Disbursed,65.0,Rehabilitation Ongoing,499,1,Ongoing - High Court,Not Started,87.3,6.7,0.84,High,2022-06-27,730,2024-06-26,0.796,447,High
LA-0105,Urban Metro Project Siliguri-105,West Bengal,Siliguri,Urban Metro,34.17,131,Partially Disbursed,17.4,Award Declared,255,2,Resolved Against,Partially Complete,35.5,8.1,0.54,Low,2023-09-27,1460,2027-09-26,0.731,388,High
LA-0106,State Highway Project Kanpur-106,Uttar Pradesh,Kanpur,State Highway,23.69,212,Not Disbursed,3.3,Rehabilitation Ongoing,204,2,Ongoing - Supreme Court,Fully Complete,41.3,7.3,0.14,Medium,2023-06-08,365,2024-06-07,0.878,403,High
